- - - XXZ 4 qubits output signals  - - - 
dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
0.0000     1.000000    0.000000    1.000000   0.000000
0.0250     0.977618    -0.198173    0.977618   -0.198173
0.0500     0.911857    -0.385532    0.911857   -0.385532
0.0750     0.806912    -0.552035    0.806912   -0.552035
0.1000     0.669274    -0.689062    0.669274   -0.689062
0.1250     0.507322    -0.790018    0.507322   -0.790018
0.1500     0.330816    -0.850741    0.330816   -0.850741
0.1750     0.150077    -0.869741    0.150077   -0.869741
0.2000     -0.024713    -0.848225    -0.024713   -0.848225
0.2250     -0.184228    -0.789920    -0.184228   -0.789920
0.2500     -0.320614    -0.700719    -0.320614   -0.700719
0.2750     -0.427987    -0.588162    -0.427987   -0.588162
0.3000     -0.502752    -0.460673    -0.502752   -0.460673
0.3250     -0.543712    -0.327219    -0.543712   -0.327219
0.3500     -0.552048    -0.196380    -0.552048   -0.196380
0.3750     -0.531060    -0.075804    -0.531060   -0.075804
0.4000     -0.485770    0.028305    -0.485770   0.028305
0.4250     -0.422408    0.111549    -0.422408   0.111549
0.4500     -0.347825    0.171534    -0.347825   0.171534
0.4750     -0.268895    0.207889    -0.268895   0.207889
0.5000     -0.191950    0.222107    -0.191950   0.222107
0.5250     -0.122297    0.217241    -0.122297   0.217241
0.5500     -0.063867    0.197484    -0.063867   0.197484
0.5750     -0.019004    0.167666    -0.019004   0.167666
0.6000     0.011583    0.132736    0.011583   0.132736
0.6250     0.028698    0.097269    0.028698   0.097269
0.6500     0.034410    0.065034    0.034410   0.065034
0.6750     0.031687    0.038685    0.031687   0.038685
0.7000     0.023955    0.019579    0.023955   0.019579
0.7250     0.014640    0.007748    0.014640   0.007748
0.7500     0.006731    0.002018    0.006731   0.002018
0.7750     0.002408    0.000255    0.002408   0.000255
0.8000     0.002779    -0.000275    0.002779   -0.000275
0.8250     0.007749    -0.002489    0.007749   -0.002489
0.8500     0.016025    -0.009054    0.016025   -0.009054
0.8750     0.025278    -0.021969    0.025278   -0.021969
0.9000     0.032425    -0.042231    0.032425   -0.042231
0.9250     0.034010    -0.069601    0.034010   -0.069601
0.9500     0.026652    -0.102510    0.026652   -0.102510
0.9750     0.007503    -0.138110    0.007503   -0.138110
1.0000     -0.025326    -0.172482    -0.025326   -0.172482
1.0250     -0.072409    -0.200962    -0.072409   -0.200962
1.0500     -0.132777    -0.218590    -0.132777   -0.218590
1.0750     -0.203825    -0.220605    -0.203825   -0.220605
1.1000     -0.281384    -0.202971    -0.281384   -0.202971
1.1250     -0.359957    -0.162862    -0.359957   -0.162862
1.1500     -0.433092    -0.099069    -0.433092   -0.099069
1.1750     -0.493885    -0.012287    -0.493885   -0.012287
1.2000     -0.535546    0.094761    -0.535546   0.094761
1.2250     -0.552007    0.217370    -0.552007   0.217370
1.2500     -0.538496    0.349074    -0.538496   0.349074
1.2750     -0.492035    0.482040    -0.492035   0.482040
1.3000     -0.411816    0.607595    -0.411816   0.607595
1.3250     -0.299418    0.716855    -0.299418   0.716855
1.3500     -0.158831    0.801397    -0.158831   0.801397
1.3750     0.003709    0.853933    0.003709   0.853933
1.4000     0.180068    0.868910    0.180068   0.868910
1.4250     0.360738    0.843004    0.360738   0.843004
1.4500     0.535468    0.775449    0.535468   0.775449
1.4750     0.693987    0.668184    0.693987   0.668184
1.5000     0.826733    0.525790    0.826733   0.525790
1.5250     0.925551    0.355225    0.925551   0.355225
1.5500     0.984295    0.165380    0.984295   0.165380
1.5750     0.999280    -0.033521    0.999280   -0.033521
1.6000     0.969557    -0.230629    0.969557   -0.230629
1.6250     0.896988    -0.415213    0.896988   -0.415213
1.6500     0.786103    -0.577413    0.786103   -0.577413
1.6750     0.643764    -0.708907    0.643764   -0.708907
1.7000     0.478660    -0.803472    0.478660   -0.803472
1.7250     0.300667    -0.857370    0.300667   -0.857370
1.7500     0.120136    -0.869547    0.120136   -0.869547
1.7750     -0.052843    -0.841632    -0.052843   -0.841632
1.8000     -0.209140    -0.777724    -0.209140   -0.777724
1.8250     -0.341187    -0.684007    -0.341187   -0.684007
1.8500     -0.443444    -0.568216    -0.443444   -0.568216
1.8750     -0.512698    -0.439006    -0.512698   -0.439006
1.9000     -0.548159    -0.305274    -0.548159   -0.305274
1.9250     -0.551375    -0.175492    -0.551375   -0.175492
1.9500     -0.525959    -0.057109    -0.525959   -0.057109
1.9750     -0.477173    0.043942    -0.477173   0.043942
2.0000     -0.411391    0.123576    -0.411391   0.123576
2.0250     -0.335513    0.179730    -0.335513   0.179730
2.0500     -0.256369    0.212351    -0.256369   0.212351
2.0750     -0.180157    0.223209    -0.180157   0.223209
2.1000     -0.111989    0.215578    -0.111989   0.215578
2.1250     -0.055551    0.193791    -0.055551   0.193791
2.1500     -0.012923    0.162737    -0.012923   0.162737
2.1750     0.015439    0.127342    0.015439   0.127342
2.2000     0.030565    0.092080    0.030565   0.092080
2.2250     0.034698    0.060565    0.034698   0.060565
2.2500     0.030910    0.035253    0.030910   0.035253
2.2750     0.022661    0.017289    0.022661   0.017289
2.3000     0.013339    0.006502    0.013339   0.006502
2.3250     0.005828    0.001543    0.005828   0.001543
2.3500     0.002155    0.000160    0.002155   0.000160
2.3750     0.003243    -0.000440    0.003243   -0.000440
2.4000     0.008802    -0.003166    0.008802   -0.003166
2.4250     0.017363    -0.010602    0.017363   -0.010602
2.4500     0.026457    -0.024667    0.026457   -0.024667
2.4750     0.032905    -0.046056    0.032905   -0.046056
2.5000     0.033246    -0.074378    0.033246   -0.074378
