dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
0.0000     1.000000    0.000000    1.000000   0.000000
0.0250     0.977618    -0.198173    0.977618   -0.198173
0.0500     0.911881    -0.385537    0.911881   -0.385537
0.0750     0.806904    -0.552033    0.806904   -0.552033
0.1000     0.669208    -0.689042    0.669208   -0.689042
0.1250     0.507231    -0.789966    0.507231   -0.789966
0.1500     0.330712    -0.850642    0.330712   -0.850642
0.1750     0.149983    -0.869582    0.149983   -0.869582
0.2000     -0.024772    -0.847992    -0.024772   -0.847992
0.2250     -0.184217    -0.789601    -0.184217   -0.789601
0.2500     -0.320496    -0.700296    -0.320496   -0.700296
0.2750     -0.427721    -0.587614    -0.427721   -0.587614
0.3000     -0.502297    -0.460111    -0.502297   -0.460111
0.3250     -0.543053    -0.326699    -0.543053   -0.326699
0.3500     -0.551185    -0.195963    -0.551185   -0.195963
0.3750     -0.530011    -0.075551    -0.530011   -0.075551
0.4000     -0.484573    0.028335    -0.484573   0.028335
0.4250     -0.421116    0.111308    -0.421116   0.111308
0.4500     -0.346507    0.170989    -0.346507   0.170989
0.4750     -0.267628    0.207025    -0.267628   0.207025
0.5000     -0.190816    0.220931    -0.190816   0.220931
0.5250     -0.121377    0.215782    -0.121377   0.215782
0.5500     -0.063234    0.195792    -0.063234   0.195792
0.5750     -0.018714    0.165809    -0.018714   0.165809
0.6000     0.011489    0.130800    0.011489   0.130800
0.6250     0.028204    0.095344    0.028204   0.095344
0.6500     0.033525    0.063216    0.033525   0.063216
0.6750     0.030442    0.037065    0.030442   0.037065
0.7000     0.022405    0.018237    0.022405   0.018237
0.7250     0.012859    0.006746    0.012859   0.006746
0.7500     0.004804    0.001398    0.004804   0.001398
0.7750     0.000431    0.000036    0.000431   0.000036
0.8000     0.000847    -0.000099    0.000847   -0.000099
0.8250     0.005949    -0.001950    0.005949   -0.001950
0.8500     0.014433    -0.008203    0.014433   -0.008203
0.8750     0.023953    -0.020874    0.023953   -0.020874
0.9000     0.031404    -0.040970    0.031404   -0.040970
0.9250     0.033308    -0.068257    0.033308   -0.068257
0.9500     0.026261    -0.101163    0.026261   -0.101163
0.9750     0.007394    -0.136834    0.007394   -0.136834
1.0000     -0.025197    -0.171335    -0.025197   -0.171335
1.0250     -0.072100    -0.199988    -0.072100   -0.199988
1.0500     -0.132351    -0.217811    -0.132351   -0.217811
1.0750     -0.203345    -0.220026    -0.203345   -0.220026
1.1000     -0.280909    -0.202576    -0.280909   -0.202576
1.1250     -0.359534    -0.162623    -0.359534   -0.162623
1.1500     -0.432756    -0.098946    -0.432756   -0.098946
1.1750     -0.493654    -0.012234    -0.493654   -0.012234
1.2000     -0.535424    0.094790    -0.535424   0.094790
1.2250     -0.551981    0.217416    -0.551981   0.217416
1.2500     -0.538542    0.349170    -0.538542   0.349170
1.2750     -0.492121    0.482206    -0.492121   0.482206
1.3000     -0.411907    0.607838    -0.411907   0.607838
1.3250     -0.299480    0.717169    -0.299480   0.717169
1.3500     -0.158835    0.801765    -0.158835   0.801765
1.3750     0.003781    0.854327    0.003781   0.854327
1.4000     0.180224    0.869297    0.180224   0.869297
1.4250     0.360971    0.843352    0.360971   0.843352
1.4500     0.535761    0.775730    0.535761   0.775730
1.4750     0.694309    0.668377    0.694309   0.668377
1.5000     0.827049    0.525887    0.827049   0.525887
1.5250     0.925823    0.355232    0.925823   0.355232
1.5500     0.984487    0.165318    0.984487   0.165318
1.5750     0.999364    -0.033621    0.999364   -0.033621
1.6000     0.969518    -0.230721    0.969518   -0.230721
1.6250     0.896824    -0.415248    0.896824   -0.415248
1.6500     0.785831    -0.577341    0.785831   -0.577341
1.6750     0.643418    -0.708682    0.643418   -0.708682
1.7000     0.478289    -0.803057    0.478289   -0.803057
1.7250     0.300334    -0.856746    0.300334   -0.856746
1.7500     0.119912    -0.868714    0.119912   -0.868714
1.7750     -0.052888    -0.840611    -0.052888   -0.840611
1.8000     -0.208939    -0.776558    -0.208939   -0.776558
1.8250     -0.340685    -0.682760    -0.340685   -0.682760
1.8500     -0.442607    -0.566969    -0.442607   -0.566969
1.8750     -0.511511    -0.437850    -0.511511   -0.437850
1.9000     -0.546636    -0.304306    -0.546636   -0.304306
1.9250     -0.549555    -0.174804    -0.549555   -0.174804
1.9500     -0.523909    -0.056784    -0.523909   -0.056784
1.9750     -0.474980    0.043839    -0.474980   0.043839
2.0000     -0.409160    0.123007    -0.409160   0.123007
2.0250     -0.333360    0.178683    -0.333360   0.178683
2.0500     -0.254408    0.210845    -0.254408   0.210845
2.0750     -0.178499    0.221295    -0.178499   0.221295
2.1000     -0.110727    0.213332    -0.110727   0.213332
2.1250     -0.054756    0.191312    -0.054756   0.191312
2.1500     -0.012639    0.160142    -0.012639   0.160142
2.1750     0.015200    0.124754    0.015200   0.124754
2.2000     0.029823    0.089622    0.029823   0.089622
2.2250     0.033504    0.058347    0.033504   0.058347
2.2500     0.029341    0.033370    0.029341   0.033370
2.2750     0.020816    0.015810    0.020816   0.015810
2.3000     0.011328    0.005466    0.011328   0.005466
2.3250     0.003767    0.000960    0.003767   0.000960
2.3500     0.000153    0.000008    0.000153   0.000008
2.3750     0.001398    -0.000212    0.001398   -0.000212
2.4000     0.007191    -0.002628    0.007191   -0.002628
2.4250     0.016038    -0.009843    0.016038   -0.009843
2.4500     0.025443    -0.023723    0.025443   -0.023723
2.4750     0.032208    -0.045081    0.032208   -0.045081
2.5000     0.032836    -0.073459    0.032836   -0.073459
