- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 246656184  Run: 2  Samples:  32000   Time:    0.57316399
dt   Re(C(t))    Im(C(t))
0.0000     1.000000    0.000000
0.0253     0.979060    -0.184693
0.0505     0.909486    -0.384466
0.0758     0.797422    -0.558278
0.1010     0.660418    -0.686209
0.1263     0.504069    -0.782886
0.1515     0.343222    -0.834535
0.1768     0.170593    -0.848685
0.2020     0.002843    -0.823612
0.2273     -0.160546    -0.769915
0.2525     -0.287584    -0.682586
0.2778     -0.380331    -0.581610
0.3030     -0.440214    -0.471185
0.3283     -0.486886    -0.347132
0.3535     -0.498629    -0.222704
0.3788     -0.491897    -0.115810
0.4040     -0.463269    -0.023092
0.4293     -0.411235    0.064573
0.4545     -0.347260    0.131182
0.4798     -0.271314    0.174486
0.5051     -0.204113    0.185201
0.5303     -0.142712    0.180590
0.5556     -0.092958    0.172628
0.5808     -0.050605    0.148624
0.6061     -0.024078    0.119061
0.6313     -0.004357    0.085342
0.6566     0.004383    0.064298
0.6818     0.009688    0.044367
0.7071     0.003737    0.032174
0.7323     -0.002575    0.027975
0.7576     -0.004001    0.025827
0.7828     -0.000974    0.026101
0.8081     0.008590    0.024381
0.8333     0.019232    0.018115
0.8586     0.034699    0.006565
0.8838     0.046950    -0.014612
0.9091     0.052210    -0.041087
0.9343     0.054084    -0.077528
0.9596     0.035779    -0.116377
0.9848     0.016280    -0.159889
1.0101     -0.020307    -0.199077
1.0354     -0.071892    -0.230647
1.0606     -0.142398    -0.243076
1.0859     -0.220421    -0.238719
1.1111     -0.306247    -0.215083
1.1364     -0.389511    -0.162944
1.1616     -0.462196    -0.087401
1.1869     -0.521985    0.002859
1.2121     -0.560934    0.117749
1.2374     -0.562494    0.257155
1.2626     -0.542486    0.381333
1.2879     -0.483998    0.517384
1.3131     -0.406354    0.630598
1.3384     -0.286260    0.736236
1.3636     -0.128265    0.818571
1.3889     0.050845    0.860744
1.4141     0.220909    0.868221
1.4394     0.397208    0.829857
1.4646     0.556009    0.758691
1.4899     0.706536    0.646688
1.5152     0.835830    0.498238
1.5404     0.924175    0.318658
1.5657     0.968983    0.141717
1.5909     0.980163    -0.042752
1.6162     0.944291    -0.251243
1.6414     0.866378    -0.427097
1.6667     0.763078    -0.558760
1.6919     0.616525    -0.687154
1.7172     0.455117    -0.770606
1.7424     0.300836    -0.814710
1.7677     0.155122    -0.817237
1.7929     -0.008563    -0.797270
1.8182     -0.147171    -0.740272
1.8434     -0.271953    -0.660978
1.8687     -0.370116    -0.552545
1.8939     -0.458544    -0.424400
1.9192     -0.504840    -0.297255
1.9444     -0.504624    -0.173501
1.9697     -0.479778    -0.062480
1.9949     -0.428541    0.023784
2.0202     -0.370800    0.094785
2.0455     -0.303310    0.140589
2.0707     -0.236953    0.164490
2.0960     -0.172123    0.178442
2.1212     -0.116802    0.164988
2.1465     -0.073097    0.149932
2.1717     -0.041445    0.123508
2.1970     -0.021872    0.096737
2.2222     -0.010671    0.073336
2.2475     -0.007558    0.049975
2.2727     -0.008576    0.036236
2.2980     -0.007910    0.026793
2.3232     -0.008248    0.021697
2.3485     -0.002287    0.019405
2.3737     0.003250    0.016180
2.3990     0.012871    0.011890
2.4242     0.023182    0.001807
2.4495     0.032594    -0.013095
2.4747     0.044096    -0.036115
2.5000     0.047023    -0.071282
