        time          w0          w1          w2          w3          w4          w5          w6          w7          w8          w9
    0.000000    0.000000    1.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.100000    0.000000    0.999984    0.000016    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.200000    0.000000    0.999827    0.000165    0.000008    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.300000    0.000000    0.999233    0.000646    0.000109    0.000012    0.000000    0.000000    0.000000    0.000000    0.000000
    0.400000    0.000000    0.997992    0.001410    0.000478    0.000110    0.000010    0.000000    0.000000    0.000000    0.000000
    0.500000    0.000000    0.996157    0.002129    0.001155    0.000470    0.000089    0.000000    0.000000    0.000000    0.000000
    0.600000    0.000000    0.993964    0.002539    0.001868    0.001205    0.000423    0.000000    0.000000    0.000000    0.000000
    0.700000    0.000000    0.991639    0.002660    0.002280    0.002089    0.001332    0.000000    0.000000    0.000000    0.000000
    0.800000    0.000000    0.989298    0.002662    0.002356    0.002593    0.003085    0.000005    0.000000    0.000000    0.000000
    0.900000    0.000000    0.986964    0.002655    0.002375    0.002389    0.005595    0.000021    0.000001    0.000000    0.000000
    1.000000    0.000000    0.984649    0.002580    0.002670    0.001703    0.008336    0.000053    0.000009    0.000000    0.000000
    1.100000    0.000000    0.982411    0.002282    0.003488    0.001055    0.010645    0.000094    0.000025    0.000000    0.000000
    1.200000    0.000000    0.980360    0.001708    0.004876    0.000744    0.012129    0.000135    0.000048    0.000000    0.000000
    1.300000    0.000000    0.978627    0.001062    0.006534    0.000702    0.012835    0.000175    0.000066    0.000000    0.000000
    1.400000    0.000000    0.977346    0.000663    0.007879    0.000756    0.013081    0.000202    0.000074    0.000000    0.000000
    1.500000    0.000000    0.976590    0.000622    0.008512    0.000838    0.013153    0.000208    0.000077    0.000000    0.000000
    1.600000    0.000000    0.976213    0.000782    0.008585    0.000970    0.013170    0.000197    0.000083    0.000000    0.000000
    1.700000    0.000000    0.975706    0.001033    0.008682    0.001156    0.013147    0.000185    0.000091    0.000000    0.000000
    1.800000    0.000000    0.974305    0.001495    0.009406    0.001363    0.013140    0.000198    0.000091    0.000001    0.000000
    1.900000    0.000000    0.971384    0.002273    0.011078    0.001589    0.013347    0.000246    0.000080    0.000003    0.000000
    2.000000    0.000000    0.966826    0.003179    0.013554    0.001937    0.014115    0.000322    0.000065    0.000001    0.000000
    2.100000    0.000000    0.961032    0.003869    0.016159    0.002600    0.015868    0.000427    0.000045    0.000000    0.000000
    2.200000    0.000000    0.954605    0.004185    0.018017    0.003607    0.019017    0.000541    0.000026    0.000001    0.000000
    2.300000    0.000000    0.948004    0.004241    0.018735    0.004585    0.023780    0.000635    0.000018    0.000001    0.000000
    2.400000    0.000000    0.941416    0.004225    0.018748    0.005008    0.029884    0.000700    0.000017    0.000001    0.000000
    2.500000    0.000000    0.934866    0.004199    0.018998    0.004727    0.036453    0.000740    0.000014    0.000001    0.000000
    2.600000    0.000000    0.928431    0.004062    0.020314    0.004121    0.042306    0.000746    0.000018    0.000001    0.000000
    2.700000    0.000000    0.922388    0.003666    0.023000    0.003685    0.046498    0.000741    0.000022    0.000001    0.000000
    2.800000    0.000000    0.917188    0.003052    0.026624    0.003569    0.048797    0.000750    0.000018    0.000001    0.000000
    2.900000    0.000000    0.913294    0.002523    0.030110    0.003607    0.049688    0.000764    0.000013    0.000002    0.000000
    3.000000    0.000000    0.910969    0.002381    0.032339    0.003639    0.049884    0.000774    0.000012    0.000001    0.000000
    3.100000    0.000000    0.910054    0.002599    0.033027    0.003637    0.049883    0.000787    0.000012    0.000002    0.000000
    3.200000    0.000000    0.909793    0.002936    0.032982    0.003617    0.049857    0.000800    0.000013    0.000002    0.000000
    3.300000    0.000000    0.908916    0.003325    0.033488    0.003595    0.049857    0.000802    0.000015    0.000001    0.000001
    3.400000    0.000000    0.906102    0.003932    0.035534    0.003606    0.050010    0.000799    0.000015    0.000001    0.000001
    3.500000    0.000000    0.900622    0.004803    0.039260    0.003720    0.050783    0.000798    0.000012    0.000001    0.000001
    3.600000    0.000000    0.892648    0.005677    0.043896    0.004091    0.052878    0.000798    0.000010    0.000001    0.000001
    3.700000    0.000000    0.883017    0.006241    0.048043    0.004877    0.057003    0.000805    0.000012    0.000001    0.000001
    3.800000    0.000000    0.872671    0.006434    0.050514    0.005963    0.063568    0.000832    0.000017    0.000001    0.000000
    3.900000    0.000000    0.862213    0.006416    0.051219    0.006868    0.072364    0.000897    0.000022    0.000001    0.000000
    4.000000    0.000000    0.851843    0.006351    0.051245    0.007128    0.082397    0.001013    0.000021    0.000001    0.000000
    4.100000    0.000000    0.841604    0.006256    0.052089    0.006779    0.092073    0.001181    0.000018    0.000001    0.000000
    4.200000    0.000000    0.831708    0.006014    0.054753    0.006291    0.099832    0.001381    0.000019    0.000001    0.000000
    4.300000    0.000000    0.822687    0.005539    0.059234    0.006069    0.104853    0.001590    0.000028    0.000001    0.000000
    4.400000    0.000000    0.815265    0.004960    0.064471    0.006143    0.107342    0.001777    0.000041    0.000001    0.000000
    4.500000    0.000000    0.810038    0.004600    0.068853    0.006346    0.108194    0.001914    0.000053    0.000001    0.000000
    4.600000    0.000000    0.807130    0.004654    0.071244    0.006579    0.108341    0.001987    0.000062    0.000003    0.000000
